sector_id,sector_name,sector_type,hs_chapters,news_tags,trade_data_available,news_data_available,latest_year,export_value_usd,import_value_usd,import_dependency_ratio,recent_news_count,reliefweb_article_count,coverage_note,computed_at
grains_poultry,Grains and poultry,wage_goods,10;2,agriculture_agroprocessing;climate_food_security,True,True,2024.0,139079.043,113189709.151,0.9988,0,51.0,"HS 10 (cereals) + HS 02 (meat, incl. poultry) as a reasonable trade proxy. Also the one sector with a dedicated humanitarian/food-security signal (ReliefWeb), added once that source's appname was approved -- drought and food-insecurity reports bear directly on this sector in a way the general news tags alone don't capture.",2026-09-12T11:15:39Z
energy_services,Electricity and energy services,wage_goods,27,energy_water,True,True,2024.0,208161.87,288932670.427,0.9993,1,,"HS 27 is 'mineral fuels' broadly (oil, gas, coal) -- a loose proxy, since electricity specifically (HS 2716) isn't separable at 2-digit chapter granularity.",2026-09-12T11:15:39Z
building_materials,Basic building materials,wage_goods,68;72,manufacturing_industrial,True,True,2024.0,1299105.484,35917539.703,0.9651,1,,HS 68 (stone/cement/plaster) + HS 72 (iron and steel) as a reasonable trade proxy.,2026-09-12T11:15:39Z
basic_clothing,Basic clothing,wage_goods,61;62,textiles_apparel,True,True,2024.0,303534395.30799997,46866303.987,0.1338,0,,IMPORTANT: HS 61/62 is the SAME chapter as Lesotho's large CMT export garment industry -- this cannot distinguish domestic basic-clothing consumption from export-oriented manufacturing at this data granularity. Treat the import-dependency figure with that caveat in mind.,2026-09-12T11:15:39Z
pharmaceuticals,Basic pharmaceutical products,wage_goods,30,,True,False,2024.0,232017.904,33602698.571,0.9931,0,,HS 30 (pharmaceutical products) is an exact chapter match. No corresponding news tag exists yet -- pharma-specific news would currently land in the discovery feed untagged.,2026-09-12T11:15:39Z
critical_minerals,Critical minerals,emerging,26;71,mining_minerals,True,True,2024.0,236472685.377,1202875.562,,2,,"HS 26 (ores) + HS 71 (precious stones/metals, incl. diamonds) -- 'critical minerals' specifically (e.g. rare earths) isn't separable at 2-digit granularity, so this is broader than the strategy's precise intent.",2026-09-12T11:15:39Z
mice_tourism,MICE tourism,emerging,,tourism_mice,False,True,,,,,0,,A service sector -- no HS trade code applies. Tracked via news signal only.,2026-09-12T11:15:39Z
music_arts_sports,"Music, arts and sports",emerging,,,False,False,,,,,0,,"NOT TRACKED by any existing source. HS 92 (musical instruments) and HS 95 (sports goods) were considered but rejected -- they measure trade in equipment, not the creative/sports economy the strategy actually means. No news tag category exists for this either.",2026-09-12T11:15:39Z
wool_mohair_cashmere,"Wool, mohair and cashmere processing",emerging,51,wool_mohair_cashmere,True,True,2024.0,45951863.889,148622.632,,0,,"HS 51 (wool, animal hair) is an exact chapter match. Note this measures the RAW/traded commodity, not specifically the value-added 'processing' step the strategy names.",2026-09-12T11:15:39Z
basotho_retail,Basotho-owned retail sector,emerging,,retail_smme,False,True,,,,,0,,A domestic service sector -- no HS trade code applies. Tracked via news signal only.,2026-09-12T11:15:39Z
public_transport,Public transport restructuring,emerging,,transport_logistics,False,True,,,,,0,,A domestic service sector -- no HS trade code applies. Tracked via news signal only.,2026-09-12T11:15:39Z
mountain_economy,Mountain economy,emerging,,,False,False,,,,,0,,"NOT TRACKED by any existing source. No HS trade code applies, and no news tag category exists for this either -- the strategy's own description of this sector is broad enough (leveraging elevation and climate) that no single proxy would honestly capture it.",2026-09-12T11:15:39Z
data_centres,Data centres,emerging,,ict_data,False,True,,,,,0,,Infrastructure/services -- no HS trade code applies. Tracked via news signal only.,2026-09-12T11:15:39Z
